componente,num_nodos,lat_centro,lon_centro,dist_min_al_principal_m,es_principal
1,4223,40.4284,-3.682,0.0,True
2,146,40.388,-3.7661,337.5,False
3,109,40.5043,-3.6983,413.3,False
4,64,40.4571,-3.7827,3093.1,False
5,60,40.491,-3.6123,1547.0,False
6,52,40.4927,-3.7249,325.9,False
7,43,40.3672,-3.6045,1173.7,False
8,29,40.407,-3.6117,828.1,False
9,25,40.4827,-3.6204,847.7,False
10,19,40.4762,-3.7409,623.1,False
11,15,40.4039,-3.7313,310.9,False
12,15,40.4628,-3.5889,1459.5,False
13,13,40.4442,-3.5846,1356.0,False
14,12,40.4063,-3.5544,4362.6,False
15,12,40.448,-3.7275,424.8,False
16,11,40.4767,-3.6383,458.9,False
17,11,40.3762,-3.6591,319.2,False
18,10,40.4578,-3.7296,719.8,False
19,8,40.4556,-3.7446,1787.7,False
20,8,40.3502,-3.677,837.3,False
21,8,40.4737,-3.8332,8377.6,False
22,7,40.4273,-3.6599,320.1,False
23,7,40.3975,-3.622,625.7,False
24,7,40.4752,-3.5825,3279.1,False
25,6,40.4461,-3.6054,312.7,False
26,5,40.4887,-3.6736,345.7,False
27,5,40.3641,-3.7774,1117.8,False
28,5,40.4034,-3.5951,2175.3,False
29,5,40.3759,-3.6388,844.7,False
30,5,40.4066,-3.5631,3751.9,False
31,5,40.357,-3.6813,374.5,False
32,4,40.4975,-3.7004,722.2,False
33,4,40.4615,-3.7465,1819.3,False
34,4,40.4835,-3.6886,331.1,False
35,4,40.385,-3.7832,2584.4,False
36,4,40.3782,-3.7922,2863.2,False
37,4,40.379,-3.7088,368.9,False
38,4,40.3458,-3.6929,345.7,False
39,4,40.4014,-3.7597,612.6,False
40,4,40.4865,-3.6334,309.3,False
41,4,40.3899,-3.622,488.3,False
42,4,40.3821,-3.6101,614.7,False
43,4,40.5089,-3.6773,397.8,False
44,4,40.372,-3.7579,336.8,False
45,3,40.468,-3.7497,1714.2,False
46,3,40.4635,-3.6163,360.5,False
47,3,40.4539,-3.6024,695.9,False
48,3,40.4705,-3.5812,3136.5,False
49,3,40.469,-3.8207,7576.9,False
50,3,40.4461,-3.5932,1100.2,False
51,3,40.4691,-3.6307,329.1,False
52,3,40.3845,-3.6057,1106.2,False
53,3,40.3689,-3.7146,361.8,False
54,3,40.3646,-3.7141,784.6,False
55,3,40.4733,-3.7368,489.2,False
56,3,40.4885,-3.7542,2512.1,False
57,2,40.4714,-3.7506,1710.7,False
58,2,40.457,-3.6371,482.5,False
59,2,40.4444,-3.7397,603.0,False
60,2,40.3891,-3.6851,308.0,False
61,2,40.3956,-3.7526,373.6,False
62,2,40.377,-3.6841,314.9,False
63,2,40.4939,-3.7,321.9,False
64,2,40.4049,-3.6415,357.2,False
65,2,40.4496,-3.7417,1181.5,False
66,2,40.4271,-3.7344,371.8,False
67,2,40.4074,-3.6045,1518.5,False
68,1,40.5156,-3.6851,1158.4,False
69,1,40.3675,-3.7536,300.4,False
70,1,40.4039,-3.6013,2005.8,False
71,1,40.3657,-3.7713,692.1,False
72,1,40.369,-3.676,953.7,False
73,1,40.3825,-3.772,1605.8,False
74,1,40.4552,-3.7931,4998.2,False
75,1,40.468,-3.7243,374.2,False
76,1,40.3931,-3.6661,302.5,False
77,1,40.5134,-3.6792,598.9,False
78,1,40.3695,-3.6798,751.8,False
79,1,40.4451,-3.6354,460.1,False
